date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:38:46	88143/88143	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea455d8-1584f%22	https://anon3mity.github.io/assets/js/jquery.min.js	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/js/jquery.min.js	(from https://anon3mity.github.io/)
07:38:46	8419/8419	---M-Z	200	added ('OK')	text/html	etag:W/%225ea455de-20e3%22	https://anon3mity.github.io/contact/	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/contact/index.html	(from https://anon3mity.github.io/)
07:38:46	80649/80649	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea455d8-13b09%22	https://anon3mity.github.io/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/bootstrap/js/bootstrap.min.js	(from https://anon3mity.github.io/)
07:38:47	990/990	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea455d8-3de%22	https://anon3mity.github.io/assets/js/script.min.js	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/js/script.min.js	(from https://anon3mity.github.io/)
07:38:47	918/918	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ea455d8-396%22	https://anon3mity.github.io/sw.js	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/sw.js	(from https://anon3mity.github.io/)
07:38:47	131930/131930	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ea455d8-2035a%22	https://anon3mity.github.io/assets/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-brands-400.eot	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:48	131930/131930	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ea455d8-2035a%22	https://anon3mity.github.io/assets/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-brands-400d41d.eot	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:48	75936/75936	---M--	200	added ('OK')	font/woff2	etag:%225ea455d8-128a0%22	https://anon3mity.github.io/assets/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-brands-400.woff2	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:48	89100/89100	---M--	200	added ('OK')	font/woff	etag:%225ea455d8-15c0c%22	https://anon3mity.github.io/assets/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-brands-400.woff	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:49	131624/131624	---M-Z	200	added ('OK')	font/ttf	etag:W/%225ea455d8-20228%22	https://anon3mity.github.io/assets/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-brands-400.ttf	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:50	34390/34390	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ea455d8-8656%22	https://anon3mity.github.io/assets/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-regular-400.eot	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:50	708706/708706	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ea455d8-ad062%22	https://anon3mity.github.io/assets/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-brands-400.svg	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:50	34390/34390	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ea455d8-8656%22	https://anon3mity.github.io/assets/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-regular-400d41d.eot	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:50	13576/13576	---M--	200	added ('OK')	font/woff2	etag:%225ea455d8-3508%22	https://anon3mity.github.io/assets/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-regular-400.woff2	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:51	16800/16800	---M--	200	added ('OK')	font/woff	etag:%225ea455d8-41a0%22	https://anon3mity.github.io/assets/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-regular-400.woff	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:51	34092/34092	---M-Z	200	added ('OK')	font/ttf	etag:W/%225ea455d8-852c%22	https://anon3mity.github.io/assets/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-regular-400.ttf	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:52	144322/144322	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ea455d8-233c2%22	https://anon3mity.github.io/assets/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-regular-400.svg	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:52	194066/194066	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ea455d8-2f612%22	https://anon3mity.github.io/assets/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-solid-900.eot	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:52	194066/194066	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ea455d8-2f612%22	https://anon3mity.github.io/assets/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-solid-900d41d.eot	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:52	76084/76084	---M--	200	added ('OK')	font/woff2	etag:%225ea455d8-12934%22	https://anon3mity.github.io/assets/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-solid-900.woff2	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
07:38:53	98996/98996	---M--	200	added ('OK')	font/woff	etag:%225ea455d8-182b4%22	https://anon3mity.github.io/assets/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/Portfolio1/anon3mity.github.io/assets/fonts/fa-solid-900.woff	(from https://anon3mity.github.io/assets/fonts/fontawesome-all.min.css)
